//
// Simulated data for IMX5 INS DID_INS_1, 80 (0x50) bytes per record
// GENERATOR = /home/elphel/git/x393/helpers/generate_imx.py
//
c8 08 00 00 28 d2 fd 1c 1d 51 14 41 78 56 34 12 fd 00 24 0a b6 b9 17 c0 ab cb 02 40 58 de e8 be 00 00 a0 41 00 00 70 41 00 00 80 3f 0f 6e 7d a5 a8 6e 44 40 63 f3 40 32 ae fc 5b c0 6d 4f 26 c9 94 58 94 40 0a d7 a3 3e 8f c2 75 3e 6f 12 83 3c 
c8 08 00 00 fb 1f 60 2d 1d 51 14 41 78 56 34 12 fd 00 24 0a b0 24 c8 bf d1 b8 0a 40 8f ee 1b c0 00 00 a0 41 00 00 70 41 00 00 80 3f 4d f3 22 2e 37 59 44 40 dd 15 14 03 8f f5 5b c0 87 f0 af bb cd e2 93 40 0a d7 23 3f 8f c2 f5 3e 6f 12 03 3d 
c8 08 00 00 ce 6d c2 3d 1d 51 14 41 78 56 34 12 fd 00 24 0a 87 95 fc 3f 75 da e6 3e e7 7a 30 40 00 00 a0 41 00 00 70 41 00 00 80 3f c8 37 ae 20 07 58 44 40 f2 e5 17 35 8e fe 5b c0 19 a1 08 74 fd 2b 94 40 8f c2 75 3f ec 51 38 3f a6 9b 44 3d 
c8 08 00 00 a1 bb 24 4e 1d 51 14 41 78 56 34 12 fd 00 24 0a 68 56 58 bf 69 30 c9 be 2e af 5d bf 00 00 a0 41 00 00 70 41 00 00 80 3f 68 ae 91 d5 95 69 44 40 38 62 81 35 fa f5 5b c0 d9 71 84 62 81 0c 94 40 0a d7 a3 3f 8f c2 75 3f 6f 12 83 3d 
c8 08 00 00 74 09 87 5e 1d 51 14 41 78 56 34 12 fd 00 24 0a 5a cd 3e 40 df f0 10 c0 56 92 b9 3f 00 00 a0 41 00 00 70 41 00 00 80 3f 66 46 4b 16 fc 62 44 40 bd 65 8d 50 07 f6 5b c0 55 b7 05 ec a0 f7 93 40 cd cc cc 3f 9a 99 99 3f 0a d7 a3 3d 
c8 08 00 00 47 57 e9 6e 1d 51 14 41 78 56 34 12 fd 00 24 0a 82 49 3a 40 37 ea 9b be 86 38 1c 3f 00 00 a0 41 00 00 70 41 00 00 80 3f 89 91 77 9a 90 5e 44 40 ea 69 c8 ab 3d ff 5b c0 e5 08 e4 c5 c8 f5 93 40 8f c2 f5 3f ec 51 b8 3f a6 9b c4 3d 
c8 08 00 00 1a a5 4b 7f 1d 51 14 41 78 56 34 12 fd 00 24 0a 9f 48 59 bf 6f b5 17 40 ee 65 3e c0 00 00 a0 41 00 00 70 41 00 00 80 3f de 16 e3 5b 36 69 44 40 68 f3 47 6f 2b f6 5b c0 4b b3 2f 28 fa dc 93 40 29 5c 0f 40 3d 0a d7 3f 42 60 e5 3d 
c8 08 00 00 ed f2 ad 8f 1d 51 14 41 78 56 34 12 fd 00 24 0a c1 fe 28 40 45 ae ac be 02 6f 44 c0 00 00 a0 41 00 00 70 41 00 00 80 3f 12 5b a1 80 2e 5e 44 40 2a da 8d 17 c3 01 5c c0 d8 74 50 3a 70 3d 94 40 0a d7 23 40 8f c2 f5 3f 6f 12 03 3e 
c8 08 00 00 c0 40 10 a0 1d 51 14 41 78 56 34 12 fd 00 24 0a ae 95 12 c0 a5 ed 1a 40 8e 48 6c bf 00 00 a0 41 00 00 70 41 00 00 80 3f 89 d3 89 20 a6 61 44 40 53 fb b2 7e 80 f6 5b c0 d3 72 38 a4 e8 14 94 40 ec 51 38 40 71 3d 0a 40 bc 74 13 3e 
c8 08 00 00 93 8e 72 b0 1d 51 14 41 78 56 34 12 fd 00 24 0a ec 09 41 3e 89 a5 57 be 63 5a ea bf 00 00 a0 41 00 00 70 41 00 00 80 3f 22 ba 8e 99 8c 59 44 40 82 91 57 b9 64 ff 5b c0 a0 b7 2c 50 e3 e1 93 40 cd cc 4c 40 9a 99 19 40 0a d7 23 3e 
